standard_care,hpv_vaccination
608592401.3981152,1112848364.7158084
615396266.1877176,1087975924.9699843
580588190.0626212,1101624449.1403046
564672518.3952416,1101592599.76153
573563443.8866711,1089164446.7727604
595599906.7291523,1098542885.0998802
534624152.4075753,1101214971.286809
567131988.2054449,1113164680.2583427
583646719.7614658,1046438583.731051
590918038.0882552,1098975997.6608489
566059354.5830442,1040263963.861219
598222320.6120871,1096554490.7454302
581551474.2077392,1066245644.5935397
610486369.0234119,1022573435.5504205
593743896.5916632,1084780042.0078697
576604885.8016114,1048799953.5495577
587048738.3418733,1092398651.7857149
575285603.7102835,1101938315.157606
592266191.3506718,1020944618.2001518
555561683.5723186,1047379735.7056916
605020491.5228288,1068560698.1342313
556256862.71597,1084673612.7333608
568255465.2218629,1079814006.225894
581608261.5154921,1071097071.4396983
605807174.519292,1135699168.192817
605218377.6943275,1084243514.774689
583785584.5893497,1066904482.5356839
613197499.5860486,1046847189.9326558
639194440.5063307,1108670786.4762144
582935628.5107116,1140609253.443763
571607931.7748394,1103160948.3332782
575238570.6742882,1147078079.5238109
599545649.543112,1046163940.3301762
609421513.4881225,1068363005.980804
572931938.6336864,1114535556.6172142
573125829.5327328,1111432247.991042
597234463.9136562,1134324203.5132277
613103203.6812828,1092365988.2959056
579080107.1971016,1155666352.7769768
583306772.9683356,1096676479.1387837
618351639.3764856,1100869427.5247927
590504781.926913,1078620374.1155808
577124265.8750906,1054935172.4094913
566191677.4031879,1072294280.6991787
573563513.583742,1074467588.6006296
609597192.7200254,1066824480.6022136
601608526.8824102,1094158087.0693038
595075502.2701488,1069897230.9694554
612974470.5457411,1086517275.25266
554715791.6038301,1128755804.7342377
577122651.367604,1078771467.3028145
582697072.0945969,1077321844.5424082
583429718.5443872,1076224596.5845156
553078506.8279853,1120060604.4987588
583951855.2591796,1175464863.9667265
611833432.9462332,1098202373.0725648
566018481.3164525,1103176869.8920133
568576787.7694683,1066964721.1972574
574215427.0788907,1020759752.0688181
594333161.3953485,1070018320.0970128
570803930.2066636,1095515367.9244974
597845158.7219883,1127574782.686478
607060226.862436,1098614656.9371295
576862356.3855653,1059085353.0784376
564748203.9742585,1095921216.7386947
596874672.7702043,1058597559.5977975
595369193.7162508,1071768790.6053807
608206295.0438426,1063979399.0617714
639013704.5614277,1084173094.616345
577310404.7311506,1110773908.3412924
572451491.9656796,1114851117.8747764
584472397.9706312,1038153837.7379013
599642475.572788,1092680055.2054703
588913630.5491191,1032167938.2208024
581018443.1611565,1087445790.1976988
595871762.9301617,1082522188.4972
615242882.3406857,1025475824.0968289
589693026.746768,1133738808.5117698
598745018.0062859,1053578917.5694383
567750949.4239761,1065530405.6252922
578261135.4130136,1117193030.7309172
599466702.4100122,1149380061.0804758
564572451.5048068,1118832166.3803735
580211823.7701046,1091048169.7548158
594999597.004971,1124201028.9940767
618202883.1565311,1048519749.4321332
584292323.0950838,1145522837.2116594
553657575.0827205,1116647350.8978465
591330902.2700621,1078104075.898727
600589956.4246355,1086451252.549059
625247854.3963735,1156370595.2956018
604536038.3231453,1171120123.8634772
554842665.95072,1048062288.0536269
544474828.8993253,1085837492.1009698
636172762.1457783,1014338692.6944417
584702176.3882976,1094723843.8810086
595605885.1940213,1093850815.1868973
615746458.6214812,1083689586.9735658
603339302.0094676,1110065305.2283754
568564546.4465151,1077774031.248487
613630688.1153884,1108273115.0135837
561201482.0710049,1108955876.8177898
606081141.4935293,1070432030.5409732
552360272.7664899,1067458635.4897956
603393888.5071023,1100663677.0266426
604109635.5108532,1043870533.8106579
594068548.3042489,1082414628.3608372
583741611.5858799,1109567871.5260565
643694673.0286728,1100493739.927473
612772057.035926,1089380535.4047527
605370254.0978355,1082261205.4769926
567034572.4970036,1113340905.1930866
591069929.0596851,1106665364.4701762
554091218.5364373,1069812545.7047453
595053277.8980913,1098010101.932974
597525591.5054216,1062615249.5096791
597602425.8873231,1090737420.642955
541794367.9936979,1070755581.7333584
